               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084083,            0.055652,                   0,             0.46913,             0.44888,             0.40948,             0.14508,            0.067902,             0.09985,                   0,             0.00169,             0.00169,             0.08479
                   1,            0.055976,            0.046065,                   0,             0.73468,             0.57683,             0.65221,             0.34773,            0.054301,            0.099244,                   0,           0.0033892,           0.0033892,            0.069489
                   2,            0.052354,            0.044575,                   0,             0.81002,             0.63749,              0.7333,             0.46122,             0.04283,            0.099676,                   0,           0.0050855,           0.0050855,            0.054185
                   3,            0.045624,            0.042987,                   0,               0.832,             0.64924,             0.75361,             0.47722,             0.04429,            0.088084,                   0,           0.0067764,           0.0067764,            0.038876
                   4,            0.041318,            0.040321,                   0,             0.82664,             0.63588,             0.74135,             0.49916,            0.040282,            0.088416,                   0,           0.0084599,           0.0084599,             0.02356
                   5,            0.043561,            0.042448,                   0,             0.84932,             0.61462,              0.7134,               0.458,            0.044496,            0.092554,                   0,           0.0099446,           0.0099446,           0.0099446
                   6,            0.040064,            0.042288,                   0,             0.78477,             0.65282,             0.73255,             0.50289,            0.040764,             0.10157,                   0,           0.0099446,           0.0099446,           0.0099446
                   7,            0.037117,            0.040597,                   0,             0.85343,             0.60724,             0.72265,             0.50227,            0.040787,            0.096456,                   0,           0.0099203,           0.0099203,           0.0099203
                   8,            0.035214,             0.03917,                   0,             0.81767,             0.62968,             0.72278,             0.49398,            0.040691,            0.090826,                   0,           0.0098916,           0.0098916,           0.0098916
                   9,            0.034121,            0.038765,                   0,             0.82059,             0.57351,             0.66457,             0.48429,            0.043923,            0.096528,                   0,           0.0098586,           0.0098586,           0.0098586
                  10,            0.032096,            0.037992,                   0,             0.82033,             0.61368,             0.71755,             0.50846,             0.04017,            0.093984,                   0,           0.0098213,           0.0098213,           0.0098213
                  11,            0.032012,            0.037307,                   0,             0.79251,              0.6284,             0.72021,             0.51838,            0.039861,            0.089747,                   0,           0.0097798,           0.0097798,           0.0097798
                  12,            0.031184,            0.036338,                   0,             0.83775,             0.62387,             0.72181,             0.51354,            0.040109,            0.090696,                   0,            0.009734,            0.009734,            0.009734
                  13,            0.030966,            0.035974,                   0,             0.83732,              0.6135,             0.71064,             0.51829,            0.040308,            0.091064,                   0,            0.009684,            0.009684,            0.009684
