               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087069,            0.035392,                   0,             0.38711,             0.35013,             0.30553,              0.1043,            0.074759,            0.059731,                   0,             0.00169,             0.00169,             0.08479
                   1,            0.057683,            0.028705,                   0,             0.42189,              0.3634,             0.35187,             0.12263,            0.072731,            0.059882,                   0,           0.0033892,           0.0033892,            0.069489
                   2,            0.054791,            0.026564,                   0,             0.52595,              0.4685,             0.46819,             0.24305,            0.059056,            0.063109,                   0,           0.0050855,           0.0050855,            0.054185
                   3,            0.048048,            0.026641,                   0,             0.55859,             0.45325,             0.46787,             0.23568,            0.059173,             0.06542,                   0,           0.0067764,           0.0067764,            0.038876
                   4,            0.044546,            0.025984,                   0,             0.53996,             0.38329,             0.39363,             0.19072,            0.062148,            0.083465,                   0,           0.0084599,           0.0084599,             0.02356
                   5,            0.047457,            0.026704,                   0,              0.5179,             0.39125,             0.39019,             0.18731,            0.063672,            0.068339,                   0,           0.0099446,           0.0099446,           0.0099446
                   6,            0.045502,            0.027477,                   0,              0.5387,             0.41971,             0.42689,             0.20493,            0.061327,            0.070278,                   0,           0.0099446,           0.0099446,           0.0099446
                   7,            0.042243,            0.026121,                   0,             0.52151,             0.40782,             0.40848,             0.19358,             0.06411,            0.070468,                   0,           0.0099203,           0.0099203,           0.0099203
                   8,            0.040369,            0.025554,                   0,              0.5579,             0.45458,             0.44577,             0.24059,            0.060677,            0.071613,                   0,           0.0098916,           0.0098916,           0.0098916
                   9,            0.038621,            0.024556,                   0,             0.55664,             0.40915,              0.4098,             0.21805,            0.061047,             0.07151,                   0,           0.0098586,           0.0098586,           0.0098586
                  10,            0.037158,            0.024947,                   0,              0.5228,             0.39122,             0.39776,             0.21436,              0.0643,             0.07186,                   0,           0.0098213,           0.0098213,           0.0098213
                  11,            0.036576,            0.023161,                   0,             0.49771,              0.3384,             0.35322,             0.19201,            0.063746,            0.079092,                   0,           0.0097798,           0.0097798,           0.0097798
                  12,            0.035708,            0.023101,                   0,              0.5218,             0.35809,             0.37181,             0.20097,            0.063156,            0.071918,                   0,            0.009734,            0.009734,            0.009734
                  13,            0.034979,            0.023283,                   0,             0.53215,             0.41512,             0.42978,             0.22444,            0.058966,            0.076033,                   0,            0.009684,            0.009684,            0.009684
                  14,            0.034494,            0.022595,                   0,             0.50455,             0.37345,             0.38429,             0.20241,            0.065289,            0.070184,                   0,           0.0096299,           0.0096299,           0.0096299
                  15,            0.034107,            0.021843,                   0,             0.54906,             0.42109,             0.42044,             0.23096,            0.058617,             0.07351,                   0,           0.0095717,           0.0095717,           0.0095717
                  16,            0.033247,            0.022121,                   0,             0.53067,             0.44198,             0.43868,              0.2338,            0.059466,            0.072046,                   0,           0.0095095,           0.0095095,           0.0095095
                  17,            0.032926,            0.021115,                   0,              0.4898,             0.38495,             0.38555,             0.19866,            0.063994,            0.083252,                   0,           0.0094434,           0.0094434,           0.0094434
                  18,            0.032232,            0.021457,                   0,             0.52837,             0.39423,             0.40632,             0.21676,            0.060396,            0.077587,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,            0.032108,            0.021089,                   0,              0.5628,             0.43203,             0.43855,             0.23096,            0.058054,            0.078905,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.031392,            0.020281,                   0,             0.58218,             0.43004,             0.44435,             0.23923,            0.059477,            0.073707,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.031466,            0.020574,                   0,             0.55329,             0.41777,             0.42707,             0.23229,            0.057452,            0.075857,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.030319,            0.020345,                   0,             0.52616,             0.33651,             0.34439,             0.17809,            0.071222,            0.071912,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.030898,            0.020293,                   0,             0.52867,             0.35875,             0.37237,             0.19206,            0.067455,            0.072097,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.030248,            0.019538,                   0,             0.62089,             0.41777,             0.45415,             0.24617,            0.061008,            0.070449,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.029787,            0.019486,                   0,             0.55775,             0.46021,             0.45726,             0.25671,            0.057708,            0.071112,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.029571,            0.019334,                   0,             0.59214,             0.41147,             0.43315,             0.23881,            0.059662,            0.075955,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.029326,            0.018988,                   0,              0.5371,             0.40451,             0.41709,              0.2334,            0.061777,            0.075487,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.029256,            0.018826,                   0,             0.59091,             0.36837,             0.38876,             0.21907,            0.062772,            0.084042,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.029252,            0.019102,                   0,             0.62372,             0.40231,             0.44453,             0.24163,            0.059151,            0.079155,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.028797,            0.018608,                   0,             0.52328,             0.42728,             0.41973,             0.21995,            0.060715,            0.078333,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.028337,            0.018186,                   0,             0.58804,             0.41678,             0.43322,             0.23524,             0.05817,            0.076641,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.028476,            0.018562,                   0,             0.51304,             0.28282,             0.28599,             0.15505,            0.076404,            0.090795,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.028268,            0.018186,                   0,             0.59244,             0.41835,             0.43493,             0.23872,            0.059959,            0.071371,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,            0.028262,            0.018076,                   0,             0.55456,             0.32858,             0.36109,             0.19576,            0.064421,            0.089948,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.027799,             0.01832,                   0,             0.57837,             0.38594,             0.40382,               0.223,             0.06017,            0.084046,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.027842,            0.017533,                   0,             0.55825,             0.36957,             0.39607,             0.22257,            0.056806,            0.089342,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.027436,            0.017484,                   0,             0.57048,             0.40086,             0.42116,             0.24927,             0.05688,              0.0858,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.027775,            0.017417,                   0,              0.5381,             0.34649,             0.35824,             0.19922,            0.066086,            0.083706,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,             0.02717,            0.017347,                   0,             0.59075,             0.38196,             0.39755,             0.23483,            0.058434,            0.094879,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.027087,            0.017583,                   0,              0.4772,              0.3866,             0.36547,             0.20841,            0.058954,             0.09691,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,             0.02679,            0.017664,                   0,             0.52683,             0.34085,             0.34009,             0.19656,            0.064601,             0.11162,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.026799,            0.017272,                   0,             0.56884,             0.41114,             0.41433,             0.23826,             0.05928,            0.085714,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.026554,            0.017289,                   0,             0.53564,              0.4128,             0.41338,             0.24117,            0.055788,            0.086143,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.026461,             0.01711,                   0,             0.48205,             0.35672,             0.33842,             0.19151,            0.062684,            0.097868,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.026284,            0.017189,                   0,             0.60795,              0.4191,             0.44856,             0.25752,              0.0548,            0.082274,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.025829,            0.016834,                   0,             0.51706,             0.39688,              0.3794,             0.22167,            0.062708,            0.090866,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.025766,            0.016967,                   0,             0.58841,              0.4002,             0.40917,             0.23255,            0.060435,             0.08848,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.025694,            0.016593,                   0,             0.62017,             0.39302,             0.40879,             0.24805,            0.061119,            0.087917,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.025173,            0.016317,                   0,             0.54998,             0.42076,             0.41402,             0.24615,            0.060492,            0.093504,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.025261,            0.016198,                   0,             0.59911,             0.44892,              0.4611,             0.27503,             0.05493,            0.081017,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.025105,            0.016676,                   0,              0.6484,              0.3866,             0.43122,             0.25289,            0.059362,            0.087548,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.025139,            0.016496,                   0,             0.56957,             0.41081,             0.41997,             0.24684,             0.05853,            0.089295,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.024973,             0.01612,                   0,              0.6283,             0.37666,             0.39699,             0.23353,            0.063049,            0.090872,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.024611,            0.016623,                   0,             0.62921,             0.39257,             0.42018,             0.24731,            0.061637,            0.092233,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.024171,            0.015513,                   0,             0.61454,             0.38229,             0.40364,             0.23564,            0.061978,            0.097048,                   0,            0.004936,            0.004936,            0.004936
